grna_id	grna_target	chr	start	end
250514_VIC_CFB_TSS_Enhancers_1	ENSG00000174332	chr1	53738932.0	53738952.0
250514_VIC_CFB_TSS_Enhancers_2	ENSG00000174332	chr1	53738986.0	53739006.0
250514_VIC_CFB_TSS_Enhancers_3	ENSG00000174332	chr1	53738997.0	53739017.0
250514_VIC_CFB_TSS_Enhancers_4	ENSG00000174332	chr1	53739013.0	53739033.0
250514_VIC_CFB_TSS_Enhancers_5	ENSG00000174332	chr1	53739047.0	53739067.0
250514_VIC_CFB_TSS_Enhancers_6	ENSG00000174332	chr1	53739096.0	53739116.0
250514_VIC_CFB_TSS_Enhancers_7	ENSG00000174332	chr1	53739108.0	53739128.0
250514_VIC_CFB_TSS_Enhancers_8	ENSG00000174332	chr1	53739137.0	53739157.0
250514_VIC_CFB_TSS_Enhancers_9	ENSG00000174332	chr1	53739204.0	53739224.0
250514_VIC_CFB_TSS_Enhancers_10	ENSG00000174332	chr1	53739260.0	53739280.0
250514_VIC_CFB_TSS_Enhancers_11	ENSG00000174332	chr1	53739284.0	53739304.0
250514_VIC_CFB_TSS_Enhancers_12	ENSG00000174332	chr1	53739292.0	53739312.0
250514_VIC_CFB_TSS_Enhancers_13	ENSG00000174332	chr1	53739335.0	53739355.0
250514_VIC_CFB_TSS_Enhancers_14	ENSG00000174332	chr1	53739357.0	53739377.0
250514_VIC_CFB_TSS_Enhancers_15	ENSG00000174332	chr1	53739389.0	53739409.0
250514_VIC_CFB_TSS_Enhancers_16	ENSG00000162599	chr1	60865043.0	60865063.0
250514_VIC_CFB_TSS_Enhancers_17	ENSG00000162599	chr1	60865121.0	60865141.0
250514_VIC_CFB_TSS_Enhancers_18	ENSG00000162599	chr1	60865202.0	60865222.0
250514_VIC_CFB_TSS_Enhancers_19	ENSG00000162599	chr1	60865208.0	60865228.0
250514_VIC_CFB_TSS_Enhancers_20	ENSG00000162599	chr1	60865218.0	60865238.0
250514_VIC_CFB_TSS_Enhancers_21	ENSG00000162599	chr1	60865231.0	60865251.0
250514_VIC_CFB_TSS_Enhancers_22	ENSG00000162599	chr1	60865273.0	60865293.0
250514_VIC_CFB_TSS_Enhancers_23	ENSG00000162599	chr1	60865295.0	60865315.0
250514_VIC_CFB_TSS_Enhancers_24	ENSG00000162599	chr1	60865319.0	60865339.0
250514_VIC_CFB_TSS_Enhancers_25	ENSG00000162599	chr1	60865372.0	60865392.0
250514_VIC_CFB_TSS_Enhancers_26	ENSG00000162599	chr1	60865377.0	60865397.0
250514_VIC_CFB_TSS_Enhancers_27	ENSG00000162599	chr1	60865404.0	60865424.0
250514_VIC_CFB_TSS_Enhancers_28	ENSG00000162599	chr1	60865437.0	60865457.0
250514_VIC_CFB_TSS_Enhancers_29	ENSG00000162599	chr1	60865459.0	60865479.0
250514_VIC_CFB_TSS_Enhancers_30	ENSG00000162599	chr1	60865461.0	60865481.0
250514_VIC_CFB_TSS_Enhancers_31	ENSG00000162599	chr1	61082102.0	61082122.0
250514_VIC_CFB_TSS_Enhancers_32	ENSG00000162599	chr1	61082121.0	61082141.0
250514_VIC_CFB_TSS_Enhancers_33	ENSG00000162599	chr1	61082166.0	61082186.0
250514_VIC_CFB_TSS_Enhancers_34	ENSG00000162599	chr1	61082176.0	61082196.0
250514_VIC_CFB_TSS_Enhancers_35	ENSG00000162599	chr1	61082243.0	61082263.0
250514_VIC_CFB_TSS_Enhancers_36	ENSG00000162599	chr1	61082255.0	61082275.0
250514_VIC_CFB_TSS_Enhancers_37	ENSG00000162599	chr1	61082291.0	61082311.0
250514_VIC_CFB_TSS_Enhancers_38	ENSG00000162599	chr1	61082300.0	61082320.0
250514_VIC_CFB_TSS_Enhancers_39	ENSG00000162599	chr1	61082311.0	61082331.0
250514_VIC_CFB_TSS_Enhancers_40	ENSG00000162599	chr1	61082396.0	61082416.0
250514_VIC_CFB_TSS_Enhancers_41	ENSG00000162599	chr1	61082412.0	61082432.0
250514_VIC_CFB_TSS_Enhancers_42	ENSG00000162599	chr1	61082449.0	61082469.0
250514_VIC_CFB_TSS_Enhancers_43	ENSG00000162599	chr1	61082471.0	61082491.0
250514_VIC_CFB_TSS_Enhancers_44	ENSG00000162599	chr1	61082505.0	61082525.0
250514_VIC_CFB_TSS_Enhancers_45	ENSG00000162599	chr1	61082517.0	61082537.0
250514_VIC_CFB_TSS_Enhancers_136	FB_RYR2_enh_1	chr1	237031549.0	237031569.0
250514_VIC_CFB_TSS_Enhancers_137	FB_RYR2_enh_1	chr1	237031550.0	237031570.0
250514_VIC_CFB_TSS_Enhancers_138	FB_RYR2_enh_1	chr1	237031595.0	237031615.0
250514_VIC_CFB_TSS_Enhancers_139	FB_RYR2_enh_1	chr1	237031610.0	237031630.0
250514_VIC_CFB_TSS_Enhancers_140	FB_RYR2_enh_1	chr1	237031627.0	237031647.0
250514_VIC_CFB_TSS_Enhancers_141	FB_RYR2_enh_1	chr1	237031658.0	237031678.0
250514_VIC_CFB_TSS_Enhancers_142	FB_RYR2_enh_1	chr1	237031681.0	237031701.0
250514_VIC_CFB_TSS_Enhancers_143	FB_RYR2_enh_1	chr1	237031691.0	237031711.0
250514_VIC_CFB_TSS_Enhancers_144	FB_RYR2_enh_1	chr1	237031692.0	237031712.0
250514_VIC_CFB_TSS_Enhancers_145	FB_RYR2_enh_1	chr1	237031697.0	237031717.0
250514_VIC_CFB_TSS_Enhancers_146	FB_RYR2_enh_1	chr1	237031717.0	237031737.0
250514_VIC_CFB_TSS_Enhancers_147	FB_RYR2_enh_1	chr1	237031759.0	237031779.0
250514_VIC_CFB_TSS_Enhancers_148	FB_RYR2_enh_1	chr1	237031770.0	237031790.0
250514_VIC_CFB_TSS_Enhancers_149	FB_RYR2_enh_1	chr1	237031774.0	237031794.0
250514_VIC_CFB_TSS_Enhancers_150	FB_RYR2_enh_1	chr1	237031782.0	237031802.0
250514_VIC_CFB_TSS_Enhancers_166	ENSG00000171132	chr2	45651662.0	45651682.0
250514_VIC_CFB_TSS_Enhancers_167	ENSG00000171132	chr2	45651669.0	45651689.0
250514_VIC_CFB_TSS_Enhancers_168	ENSG00000171132	chr2	45651696.0	45651716.0
250514_VIC_CFB_TSS_Enhancers_169	ENSG00000171132	chr2	45651737.0	45651757.0
250514_VIC_CFB_TSS_Enhancers_170	ENSG00000171132	chr2	45651759.0	45651779.0
250514_VIC_CFB_TSS_Enhancers_171	ENSG00000171132	chr2	45651813.0	45651833.0
250514_VIC_CFB_TSS_Enhancers_172	ENSG00000171132	chr2	45651884.0	45651904.0
250514_VIC_CFB_TSS_Enhancers_173	ENSG00000171132	chr2	45651899.0	45651919.0
250514_VIC_CFB_TSS_Enhancers_174	ENSG00000171132	chr2	45651944.0	45651964.0
250514_VIC_CFB_TSS_Enhancers_175	ENSG00000171132	chr2	45651966.0	45651986.0
250514_VIC_CFB_TSS_Enhancers_176	ENSG00000171132	chr2	45651995.0	45652015.0
250514_VIC_CFB_TSS_Enhancers_177	ENSG00000171132	chr2	45652016.0	45652036.0
250514_VIC_CFB_TSS_Enhancers_178	ENSG00000171132	chr2	45652056.0	45652076.0
250514_VIC_CFB_TSS_Enhancers_179	ENSG00000171132	chr2	45652091.0	45652111.0
250514_VIC_CFB_TSS_Enhancers_180	ENSG00000171132	chr2	45652120.0	45652140.0
250514_VIC_CFB_TSS_Enhancers_181	ENSG00000179915	chr2	51032198.0	51032218.0
250514_VIC_CFB_TSS_Enhancers_182	ENSG00000179915	chr2	51032218.0	51032238.0
250514_VIC_CFB_TSS_Enhancers_183	ENSG00000179915	chr2	51032256.0	51032276.0
250514_VIC_CFB_TSS_Enhancers_184	ENSG00000179915	chr2	51032285.0	51032305.0
250514_VIC_CFB_TSS_Enhancers_185	ENSG00000179915	chr2	51032296.0	51032316.0
250514_VIC_CFB_TSS_Enhancers_186	ENSG00000179915	chr2	51032313.0	51032333.0
250514_VIC_CFB_TSS_Enhancers_187	ENSG00000179915	chr2	51032322.0	51032342.0
250514_VIC_CFB_TSS_Enhancers_188	ENSG00000179915	chr2	51032336.0	51032356.0
250514_VIC_CFB_TSS_Enhancers_189	ENSG00000179915	chr2	51032357.0	51032377.0
250514_VIC_CFB_TSS_Enhancers_190	ENSG00000179915	chr2	51032370.0	51032390.0
250514_VIC_CFB_TSS_Enhancers_191	ENSG00000179915	chr2	51032406.0	51032426.0
250514_VIC_CFB_TSS_Enhancers_192	ENSG00000179915	chr2	51032455.0	51032475.0
250514_VIC_CFB_TSS_Enhancers_193	ENSG00000179915	chr2	51032579.0	51032599.0
250514_VIC_CFB_TSS_Enhancers_194	ENSG00000179915	chr2	51032600.0	51032620.0
250514_VIC_CFB_TSS_Enhancers_195	ENSG00000179915	chr2	51032608.0	51032628.0
250514_VIC_CFB_TSS_Enhancers_211	ENSG00000135636	chr2	71453389.0	71453409.0
250514_VIC_CFB_TSS_Enhancers_212	ENSG00000135636	chr2	71453428.0	71453448.0
250514_VIC_CFB_TSS_Enhancers_213	ENSG00000135636	chr2	71453439.0	71453459.0
250514_VIC_CFB_TSS_Enhancers_214	ENSG00000135636	chr2	71453474.0	71453494.0
250514_VIC_CFB_TSS_Enhancers_215	ENSG00000135636	chr2	71453501.0	71453521.0
250514_VIC_CFB_TSS_Enhancers_216	ENSG00000135636	chr2	71453556.0	71453576.0
250514_VIC_CFB_TSS_Enhancers_217	ENSG00000135636	chr2	71453594.0	71453614.0
250514_VIC_CFB_TSS_Enhancers_218	ENSG00000135636	chr2	71453672.0	71453692.0
250514_VIC_CFB_TSS_Enhancers_219	ENSG00000135636	chr2	71453691.0	71453711.0
250514_VIC_CFB_TSS_Enhancers_220	ENSG00000135636	chr2	71453701.0	71453721.0
250514_VIC_CFB_TSS_Enhancers_221	ENSG00000135636	chr2	71453750.0	71453770.0
250514_VIC_CFB_TSS_Enhancers_222	ENSG00000135636	chr2	71453767.0	71453787.0
250514_VIC_CFB_TSS_Enhancers_223	ENSG00000135636	chr2	71453799.0	71453819.0
250514_VIC_CFB_TSS_Enhancers_224	ENSG00000135636	chr2	71453804.0	71453824.0
250514_VIC_CFB_TSS_Enhancers_225	ENSG00000135636	chr2	71453842.0	71453862.0
250514_VIC_CFB_TSS_Enhancers_241	VIC_CYP26B1_enh_1	chr2	71578725.0	71578745.0
250514_VIC_CFB_TSS_Enhancers_242	VIC_CYP26B1_enh_1	chr2	71578738.0	71578758.0
250514_VIC_CFB_TSS_Enhancers_243	VIC_CYP26B1_enh_1	chr2	71578744.0	71578764.0
250514_VIC_CFB_TSS_Enhancers_244	VIC_CYP26B1_enh_1	chr2	71578768.0	71578788.0
250514_VIC_CFB_TSS_Enhancers_245	VIC_CYP26B1_enh_1	chr2	71578786.0	71578806.0
250514_VIC_CFB_TSS_Enhancers_246	VIC_CYP26B1_enh_1	chr2	71578791.0	71578811.0
250514_VIC_CFB_TSS_Enhancers_247	VIC_CYP26B1_enh_1	chr2	71578817.0	71578837.0
250514_VIC_CFB_TSS_Enhancers_248	VIC_CYP26B1_enh_1	chr2	71578842.0	71578862.0
250514_VIC_CFB_TSS_Enhancers_249	VIC_CYP26B1_enh_1	chr2	71578853.0	71578873.0
